пп;Точка включения;КАССА-1;КАССА-2;КАССА-3;ПК - ТН;МФУ;Почтовый ПК;Топливный Сервер
1;001 АЗК (Иркутск);10.249.192.3;10.249.192.4;;10.249.192.50;10.249.192.51;10.249.192.52;
2;001Ч АЗС (Черемхово);10.249.192.131;;;10.249.192.178;10.249.192.179;10.249.192.180;10.249.192.134
3;002 АЗС (Иркутск);10.249.193.3;10.249.193.4;;10.249.193.50;10.249.193.51;10.249.193.52;10.249.193.6
4;003 АЗК (Иркутск);10.249.193.131;10.249.193.132;;10.249.193.178;10.249.193.179;10.249.193.180;
5;004 АЗК (Иркутск);10.249.194.3;10.249.194.4;;10.249.194.50;10.249.194.51;10.249.194.52;
6;004Б АЗС (Ангарск);10.249.194.131;;;10.249.194.178;10.249.194.179;10.249.194.180;10.249.194.134
7;005 АЗС (Иркутск);10.249.195.3;;;10.249.195.50;10.249.195.51;10.249.195.52;10.249.195.6
8;006 АЗК (Иркутск);10.249.195.131;10.249.195.132;;10.249.195.178;10.249.195.179;10.249.195.180;
9;009 АЗС (Усть-Ордынский);10.249.196.3;10.249.196.4;;10.249.196.50;10.249.196.51;10.249.196.52;10.249.196.6
10;010 АЗК (Шелехов);10.249.196.131;10.249.196.132;;10.249.196.178;10.249.196.179;10.249.196.180;
11;013 АЗС (Иркутск);10.249.197.3;;;10.249.197.50;10.249.197.51;10.249.197.52;10.249.197.6
12;014 АЗС (Качуг);10.249.197.131;;;10.249.197.178;10.249.197.179;10.249.197.180;10.249.197.134
13;016 АЗС (Усть-Уда);10.249.198.3;;;10.249.198.50;10.249.198.51;10.249.198.52;10.249.198.6
14;020 АЗС (Оса);10.249.198.131;;;10.249.198.178;10.249.198.179;10.249.198.180;10.249.198.134
15;022 АЗС (Усолье-Сибирское);10.249.199.3;;;10.249.199.50;10.249.199.51;10.249.199.52;10.249.199.6
16;023 АЗС (Черемхово);10.249.199.131;;;10.249.199.178;10.249.199.179;10.249.199.180;10.249.199.134
17;028 АЗС (Залари);10.249.200.3;;;10.249.200.50;10.249.200.51;10.249.200.52;10.249.200.6
18;029 АЗК (Куйтун);10.249.200.131;10.249.200.132;;10.249.200.178;10.249.200.179;10.249.200.180;
19;033 АЗК (Тулун);10.249.201.3;10.249.201.4;;10.249.201.50;10.249.201.51;10.249.201.52;
20;034 АЗК (Тулун);10.249.201.131;10.249.201.132;;10.249.201.178;10.249.201.179;10.249.201.180;
21;035 АЗС (Нижнеудинск);10.249.202.3;;;10.249.202.50;10.249.202.51;10.249.202.52;10.249.202.6
22;037 АЗК (Тайшет);10.249.202.131;10.249.202.132;;10.249.202.178;10.249.202.179;10.249.202.180;
23;038 АЗС (Алзамай);10.249.203.3;;;10.249.203.50;10.249.203.51;10.249.203.52;10.249.203.6
24;041 АЗК (Братск);10.249.203.131;10.249.203.132;;10.249.203.178;10.249.203.179;10.249.203.180;
25;042 АЗС (Братск);10.249.204.3;;;10.249.204.50;10.249.204.51;10.249.204.52;10.249.204.6
26;044 АЗС (Усть-Кут);10.249.204.131;;;10.249.204.178;10.249.204.179;10.249.204.180;10.249.204.134
27;046 АЗС (Кырен);10.249.205.3;;;10.249.205.50;10.249.205.51;10.249.205.52;10.249.205.6
28;047 АЗК (Еланцы);10.249.205.131;10.249.205.132;;10.249.205.178;10.249.205.179;10.249.205.180;
29;049 АЗК (Байкальск);10.249.206.3;10.249.206.4;;10.249.206.50;10.249.206.51;10.249.206.52;
30;051 АЗС (Иркутск);10.249.206.131;;;10.249.206.178;10.249.206.179;10.249.206.180;10.249.206.134
31;052 АЗС (Листвянка);10.249.207.3;;;10.249.207.50;10.249.207.51;10.249.207.52;10.249.207.6
32;053 АЗК (Иркутск) ;10.249.207.131;10.249.207.132;;10.249.207.178;10.249.207.179;10.249.207.180;
33;054 АЗК (Слюдянка);10.249.208.3;10.249.208.4;;10.249.208.50;10.249.208.51;10.249.208.52;
34;055 АЗК (Усть-Кут);10.249.208.131;10.249.208.132;;10.249.208.178;10.249.208.179;10.249.208.180;
